1, CORRECT
2, CORRECT
3, CORRECT
4, CORRECT
5, CORRECT
6, CORRECT
7, CORRECT
8, CORRECT
9, CORRECT
10, CORRECT
11, CORRECT
12, WRONG
13, CORRECT
14, WRONG
15, WRONG
16, WRONG
17, WRONG
18, WRONG
19, WRONG
20, WRONG
21, WRONG
22, WRONG
23, WRONG
24, WRONG
25, CORRECT
26, CORRECT
27, CORRECT
28, CORRECT
29, CORRECT
30, CORRECT
31, CORRECT
32, CORRECT
33, CORRECT
34, CORRECT
35, CORRECT
36, CORRECT
37, CORRECT
38, CORRECT
39, WRONG
40, WRONG
41, CORRECT
42, WRONG
43, WRONG
44, WRONG
45, WRONG
46, CORRECT
47, CORRECT
48, CORRECT
49, CORRECT
50, WRONG
51, CORRECT
52, CORRECT
53, CORRECT
54, CORRECT
55, CORRECT
56, CORRECT
57, CORRECT
58, CORRECT
59, CORRECT
60, CORRECT
61, CORRECT
62, CORRECT
63, WRONG
64, CORRECT
65, WRONG
66, WRONG
67, CORRECT
68, WRONG
69, WRONG
70, WRONG
71, WRONG
72, CORRECT
73, WRONG
74, CORRECT
75, WRONG
76, WRONG
77, WRONG
78, WRONG
79, CORRECT
80, CORRECT
81, WRONG
82, WRONG
83, WRONG
84, WRONG
85, WRONG
86, WRONG
87, WRONG
88, WRONG
89, WRONG
90, WRONG
91, WRONG
92, WRONG
93, WRONG
94, WRONG
95, WRONG
96, WRONG
97, WRONG
98, WRONG
99, WRONG
100, WRONG
